nombre,sede,rubro,url
BCP,Angelica Gamarra,Banca,"https://www.google.com/maps/place/BCP+Angelica+Gamarra/@-11.9733653,-77.1099482,13z/data=!4m12!1m2!2m1!1sbcp+los+olivos!3m8!1s0x9105cef101c57ec3:0xfea8dce7382feef!8m2!3d-12.0060555!4d-77.0709153!9m1!1b1!15sCg5iY3AgbG9zIG9saXZvcyIDiAEBWhAiDmJjcCBsb3Mgb2xpdm9zkgEEYmFua5oBI0NoWkRTVWhOTUc5blMwVkpRMEZuU1VSb2JXUXpiVU4zRUFF4AEA-gEECAAQDg!16s%2Fg%2F11ckkrfmsb?entry=ttu&g_ep=EgoyMDI2MDYwMy4xIKXMDSoASAFQAw%3D%3D"
Interbank,Miraflores,Banca,"https://www.google.com/maps/place/Interbank/@-12.1243336,-77.0296634,21z/data=!3m1!5s0x9105c81933947d71:0xfc5c05da2e88b46f!4m8!3m7!1s0x9105c819315b5649:0xd92af107d5ffeedc!8m2!3d-12.1243573!4d-77.0295796!9m1!1b1!16s%2Fg%2F1wc490j1?entry=ttu&g_ep=EgoyMDI2MDUxMC4wIKXMDSoASAFQAw%3D%3D"
Interbank,San Isidro,Banca,"https://www.google.com/maps/place/Interbank+Canaval+y+Moreyra/@-11.9728944,-77.2335644,11z/data=!4m12!1m2!2m1!1sinterbank+san+isidro!3m8!1s0x9105c86ff3e8bb87:0x30ed530aca140b0!8m2!3d-12.0968614!4d-77.022676!9m1!1b1!15sChRpbnRlcmJhbmsgc2FuIGlzaWRybyIDiAEBkgEEYmFua-ABAA!16s%2Fg%2F12hnzn8k6?entry=ttu&g_ep=EgoyMDI2MDYwMy4xIKXMDSoASAFQAw%3D%3D"
Interbank,San Miguel,Banca,"https://www.google.com/maps/place/Tienda+Interbank/@-12.0344632,-77.1653504,12z/data=!4m12!1m2!2m1!1sinterbank+san+miguel!3m8!1s0x9105c960e9e951c1:0xfbcdb751e56d4fe2!8m2!3d-12.0768784!4d-77.0811359!9m1!1b1!15sChRpbnRlcmJhbmsgc2FuIG1pZ3VlbCIDiAEBkgEEYmFua-ABAA!16s%2Fg%2F11h3ftdq6m?entry=ttu&g_ep=EgoyMDI2MDYwMy4xIKXMDSoASAFQAw%3D%3D"
Interbank,La Molina,Banca,"https://www.google.com/maps/place/Interbank/@-12.0334181,-77.4126234,10z/data=!4m12!1m2!2m1!1sinterbank+la+molina!3m8!1s0x9105c7d8e156be63:0x47af67e10b23fa66!8m2!3d-12.0698727!4d-76.9577707!9m1!1b1!15sChNpbnRlcmJhbmsgbGEgbW9saW5hIgOIAQGSAQRiYW5r4AEA!16s%2Fg%2F11gsbmlq8x?entry=ttu&g_ep=EgoyMDI2MDYwMy4xIKXMDSoASAFQAw%3D%3D"
BBVA,San Isidro,Banca,"https://www.google.com/maps/place/BBVA+San+Isidro/@-12.0989572,-77.1197103,12z/data=!4m12!1m2!2m1!1sbbva+san+isidro!3m8!1s0x9105c8f55f4010bb:0x5808600f510cfb91!8m2!3d-12.0939282!4d-77.0211518!9m1!1b1!15sCg9iYnZhIHNhbiBpc2lkcm-SAQRiYW5r4AEA!16s%2Fg%2F1226g4gx?entry=ttu&g_ep=EgoyMDI2MDYwMy4xIKXMDSoASAFQAw%3D%3D"
BBVA,Miraflores,Banca,"https://www.google.com/maps/place/BBVA+Ovalo+Miraflores/@-12.0985972,-77.1197106,12z/data=!4m12!1m2!2m1!1sbbva+miraflores!3m8!1s0x9105c8178bc3f16f:0xf0b5ec66fc926cb7!8m2!3d-12.1188312!4d-77.0318743!9m1!1b1!15sCg9iYnZhIG1pcmFmbG9yZXOSAQRiYW5r4AEA!16s%2Fg%2F11b6gnmq5p?entry=ttu&g_ep=EgoyMDI2MDYwMy4xIKXMDSoASAFQAw%3D%3D"
BBVA,San Miguel,Banca,"https://www.google.com/maps/place/BBVA+Maranga/@-12.0982372,-77.1197109,12z/data=!4m12!1m2!2m1!1sbbva+san+miguel!3m8!1s0x9105c97ab9b4dd89:0x85537dcef19963a0!8m2!3d-12.0779823!4d-77.0923282!9m1!1b1!15sCg9iYnZhIHNhbiBtaWd1ZWwiA4gBAZIBBGJhbmvgAQA!16s%2Fg%2F1ptwqb20r?entry=ttu&g_ep=EgoyMDI2MDYwMy4xIKXMDSoASAFQAw%3D%3D"
Scotiabank,San Isidro,Banca,"https://www.google.com/maps/place/Scotiabank/@-12.0978772,-77.1197113,12z/data=!4m12!1m2!2m1!1sscotiabank+san+isidro!3m8!1s0x9105c87042dfe5af:0xeaeba6ad127ae4c2!8m2!3d-12.0972448!4d-77.0234335!9m1!1b1!15sChVzY290aWFiYW5rIHNhbiBpc2lkcm8iA4gBAZIBBGJhbmvgAQA!16s%2Fg%2F11c37q6hwm?entry=ttu&g_ep=EgoyMDI2MDYwMy4xIKXMDSoASAFQAw%3D%3D"
Scotiabank,Miraflores,Banca,"https://www.google.com/maps/place/Scotiabank/@-12.0975172,-77.1197116,12z/data=!3m1!5s0x9105c819394a5af3:0x5abf258a63b34274!4m12!1m2!2m1!1sscotiabank+miraflores!3m8!1s0x9105c8193eb36fbd:0x114350115c53ffda!8m2!3d-12.1235795!4d-77.0294127!9m1!1b1!15sChVzY290aWFiYW5rIG1pcmFmbG9yZXMiA4gBAZIBBGJhbmvgAQA!16s%2Fg%2F1yj2mg6jf?entry=ttu&g_ep=EgoyMDI2MDYwMy4xIKXMDSoASAFQAw%3D%3D"
